,TeamA,TeamB,Stadium,Match_Day,Match_Time,Match_Date,TeamA_Position,TeamB_Position,Attendance,TeamA_goals,TeamB_goals
0,Hajer Club,Al-Raed,Prince Abdullah bin Jalawi Stadium,7,  3:35 PM, 12/25/15,13,10,220,1,2
0,Al-Wehda FC,Al-Ittihad Club (Jeddah),King Abdul Aziz Stadium,7,  6:00 PM, 12/25/15,11,3,8937,0,2
0,Al-Shabab Club (Riyadh),Al-Taawoun FC,Prince Faisal bin Fahad Stadium,7,  6:00 PM, 12/25/15,5,4,574,0,1
0,Al-Fateh,Al-Wehda FC,Prince Abdullah bin Jalawi Stadium,8,  3:30 PM, 11/20/15,6,12,1807,2,0
0,Al-Faisaly FC,Al-Raed,Al Majma'ah Sports City Stadium,8,  3:50 PM, 11/20/15,9,10,240,2,2
0,Najran SC,Hajer Club,Al-Ukhdood Stadium,8,  6:10 PM, 11/20/15,13,14,46,2,0
0,Al-Qadsiah FC,Al-Shabab Club (Riyadh),Prince Saud bin Jalawi Stadium,8,  3:30 PM, 11/21/15,11,5,272,0,1
0,Al-Hilal Saudi FC,Al-Khaleej,Prince Faisal bin Fahad Stadium,8,  3:45 PM, 11/21/15,1,7,5097,7,0
0,Al-Taawoun FC,Al-Nassr Riad,King Abdullah Sport City Stadium,8,  3:55 PM, 11/21/15,4,8,3205,3,3
0,Al-Ittihad Club (Jeddah),Al-Ahli Saudi FC,King Abdullah Sports City,8,  6:10 PM, 11/22/15,3,2,46977,0,3
0,Hajer Club,Al-Taawoun FC,Prince Abdullah bin Jalawi Stadium,9,  3:30 PM, 11/25/15,14,3,706,1,4
0,Al-Raed,Al-Wehda FC,King Abdullah Sport City Stadium,9,  6:00 PM, 11/25/15,10,13,2594,1,0
0,Al-Nassr Riad,Al-Fateh,King Fahd International Stadium,9,  3:45 PM, 11/26/15,6,7,3686,3,1
0,Al-Ahli Saudi FC,Al-Faisaly FC,King Abdullah Sports City,9,  6:00 PM, 11/26/15,2,9,18936,1,1
0,Al-Khaleej,Al-Ittihad Club (Jeddah),Prince Mohamed bin Fahd Stadium,9,  3:30 PM, 11/27/15,8,4,3472,2,2
0,Al-Shabab Club (Riyadh),Al-Hilal Saudi FC,King Fahd International Stadium,9,  6:00 PM, 11/27/15,5,1,14850,0,1
0,Najran SC,Al-Qadsiah FC,Al-Ukhdood Stadium,9,  5:40 PM, 11/28/15,12,11,218,1,1
0,Al-Raed,Al-Nassr Riad,King Abdullah Sport City Stadium,10,  3:50 PM, 12/3/15,10,8,8439,0,0
0,Al-Wehda FC,Al-Qadsiah FC,King Abdul Aziz Stadium,10,  6:00 PM, 12/3/15,11,12,922,1,0
0,Al-Ahli Saudi FC,Hajer Club,King Abdullah Sports City,10,  6:00 PM, 12/3/15,2,14,29592,1,0
0,Al-Fateh,Al-Taawoun FC,Prince Abdullah bin Jalawi Stadium,10,  3:30 PM, 12/4/15,5,4,2137,1,0
0,Al-Faisaly FC,Al-Khaleej,Al Majma'ah Sports City Stadium,10,  3:45 PM, 12/4/15,9,7,204,1,2
0,Al-Hilal Saudi FC,Najran SC,Prince Faisal bin Fahad Stadium,10,  6:00 PM, 12/4/15,1,13,9079,2,0
0,Al-Ittihad Club (Jeddah),Al-Shabab Club (Riyadh),King Abdullah Sports City,10,  6:00 PM, 12/4/15,3,6,22354,2,1
0,Najran SC,Al-Faisaly FC,Al-Ukhdood Stadium,11,  4:20 PM, 12/9/15,13,9,150,0,1
0,Al-Taawoun FC,Al-Raed,King Abdullah Sport City Stadium,11,  6:00 PM, 12/9/15,4,11,4999,2,0
0,Al-Khaleej,Al-Nassr Riad,Prince Mohamed bin Fahd Stadium,11,  3:30 PM, 12/10/15,6,7,2288,1,1
0,Al-Ittihad Club (Jeddah),Hajer Club,King Abdullah Sports City,11,  6:00 PM, 12/10/15,3,14,11530,5,0
0,Al-Hilal Saudi FC,Al-Ahli Saudi FC,King Fahd International Stadium,11,  6:15 PM, 12/10/15,1,2,26653,1,2
0,Al-Qadsiah FC,Al-Fateh,Prince Saud bin Jalawi Stadium,11,  3:30 PM, 12/11/15,12,5,445,2,1
0,Al-Wehda FC,Al-Shabab Club (Riyadh),King Abdul Aziz Stadium,11,  6:00 PM, 12/11/15,10,8,1357,2,1
0,Hajer Club,Al-Hilal Saudi FC,Prince Abdullah bin Jalawi Stadium,12,  3:30 PM, 12/14/15,14,1,6754,1,5
0,Al-Shabab Club (Riyadh),Al-Faisaly FC,Prince Faisal bin Fahad Stadium,12,  3:45 PM, 12/14/15,9,8,493,0,1
0,Al-Ahli Saudi FC,Al-Raed,King Abdullah Sports City,12,  6:00 PM, 12/14/15,2,12,14974,3,1
0,Al-Nassr Riad,Al-Ittihad Club (Jeddah),King Fahd International Stadium,12,  6:00 PM, 12/14/15,6,4,,3,0
0,Al-Khaleej,Al-Qadsiah FC,Prince Saud bin Jalawi Stadium,12,  3:30 PM, 12/15/15,7,11,413,0,0
0,Al-Taawoun FC,Al-Wehda FC,King Abdullah Sport City Stadium,12,  3:55 PM, 12/15/15,3,10,7219,4,2
0,Najran SC,Al-Fateh,Al-Ukhdood Stadium,12,  6:00 PM, 12/15/15,13,5,202,1,3
0,Al-Qadsiah FC,Hajer Club,Prince Saud bin Jalawi Stadium,13,  3:30 PM, 12/19/15,11,14,321,1,1
0,Al-Faisaly FC,Al-Hilal Saudi FC,Al Majma'ah Sports City Stadium,13,  3:50 PM, 12/19/15,9,1,1750,0,1
0,Al-Shabab Club (Riyadh),Al-Nassr Riad,King Fahd International Stadium,13,  6:15 PM, 12/19/15,7,6,7871,1,0
0,Al-Raed,Najran SC,King Abdullah Sport City Stadium,13,  1:15 PM, 12/20/15,12,13,2892,2,3
0,Al-Fateh,Al-Ahli Saudi FC,Prince Abdullah bin Jalawi Stadium,13,  3:30 PM, 12/20/15,5,2,4625,0,2
0,Al-Wehda FC,Al-Khaleej,King Abdul Aziz Stadium,13,  6:15 PM, 12/20/15,10,8,546,0,0
0,Al-Ittihad Club (Jeddah),Al-Taawoun FC,King Abdullah Sports City,13,  6:15 PM, 12/20/15,3,4,12290,4,1
0,Hajer Club,Al-Nassr Riad,Prince Abdullah bin Jalawi Stadium,14,  4:00 PM, 1/27/16,14,5,4100,0,1
0,Al-Wehda FC,Al-Hilal Saudi FC,King Abdul Aziz Stadium,14,  6:30 PM, 1/27/16,10,1,10939,1,3
0,Al-Raed,Al-Shabab Club (Riyadh),King Abdullah Sport City Stadium,14,  1:45 PM, 1/28/16,12,6,2358,0,1
0,Al-Faisaly FC,Al-Qadsiah FC,Al Majma'ah Sports City Stadium,14,  4:15 PM, 1/28/16,8,11,152,1,0
0,Al-Ahli Saudi FC,Al-Taawoun FC,King Abdullah Sports City,14,  6:30 PM, 1/28/16,2,4,23989,2,2
0,Al-Fateh,Al-Khaleej,Prince Abdullah bin Jalawi Stadium,14,  4:00 PM, 1/29/16,7,9,516,0,0
0,Al-Ittihad Club (Jeddah),Najran SC,King Abdullah Sports City,14,  6:30 PM, 1/29/16,3,13,21225,1,0
0,Al-Nassr Riad,Al-Qadsiah FC,King Fahd International Stadium,15,  4:20 PM, 2/4/16,6,11,2782,0,0
0,Al-Ittihad Club (Jeddah),Al-Raed,King Abdullah Sports City,15,  6:30 PM, 2/4/16,3,12,16029,6,2
0,Al-Hilal Saudi FC,Al-Fateh,King Fahd International Stadium,15,  4:20 PM, 2/5/16,1,7,11104,3,3
0,Al-Ahli Saudi FC,Al-Khaleej,King Abdullah Sports City,15,  6:30 PM, 2/5/16,2,8,16282,1,1
0,Al-Taawoun FC,Al-Faisaly FC,King Abdullah Sport City Stadium,15,  1:55 PM, 2/6/16,4,9,5666,3,1
0,Al-Shabab Club (Riyadh),Hajer Club,King Fahd International Stadium,15,  4:20 PM, 2/6/16,5,14,491,3,1
0,Najran SC,Al-Wehda FC,Al-Ukhdood Stadium,15,  4:50 PM, 2/6/16,13,10,355,2,2
0,Al-Khaleej,Al-Shabab Club (Riyadh),Prince Saud bin Jalawi Stadium,16,  4:10 PM, 2/10/16,8,5,473,1,2
0,Al-Wehda FC,Al-Ahli Saudi FC,King Abdul Aziz Stadium,16,  6:40 PM, 2/10/16,10,2,5720,0,1
0,Al-Qadsiah FC,Al-Taawoun FC,Prince Saud bin Jalawi Stadium,16,  4:10 PM, 2/11/16,11,4,335,1,2
0,Al-Raed,Al-Hilal Saudi FC,King Abdullah Sport City Stadium,16,  4:35 PM, 2/11/16,13,1,12324,0,1
0,Najran SC,Al-Nassr Riad,Al-Ukhdood Stadium,16,  6:40 PM, 2/11/16,12,6,6421,4,3
0,Hajer Club,Al-Fateh,Prince Abdullah bin Jalawi Stadium,16,  4:10 PM, 2/12/16,14,7,2225,1,0
0,Al-Faisaly FC,Al-Ittihad Club (Jeddah),Al Majma'ah Sports City Stadium,16,  4:30 PM, 2/13/16,9,3,1020,1,3
0,Al-Taawoun FC,Al-Hilal Saudi FC,King Abdullah Sport City Stadium,17,  4:40 PM, 2/15/16,4,1,12507,1,0
0,Al-Nassr Riad,Al-Ahli Saudi FC,King Fahd International Stadium,17,  6:40 PM, 2/15/16,7,2,6763,1,1
