,TeamA,TeamB,Stadium,Match_Day,Match_Time,Match_Date,TeamA_Position,TeamB_Position,Attendance,TeamA_goals,TeamB_goals
0,Al-Shabab Club (Riyadh),Al-Qadsiah FC,King Fahd International Stadium,1,  6:10 PM, 8/11/16,6,7,1406,0,0
0,Al-Raed,Al-Ittihad Club (Jeddah),King Abdullah Sport City Stadium,1,  8:05 PM, 8/11/16,9,8,7017,2,3
0,Al-Faisaly FC,Al-Khaleej,Al Majma'ah Sports City Stadium,1,  6:10 PM, 8/12/16,3,11,214,3,1
0,Al-Wehda FC,Al-Taawoun FC,King Abdul Aziz Stadium,1,  8:05 PM, 8/12/16,5,10,681,3,2
0,Al-Nassr Riad,Al-Fateh,King Fahd International Stadium,1,  8:05 PM, 8/12/16,2,14,11264,4,1
0,Al-Hilal Saudi FC,Al-Batin FC,King Fahd International Stadium,1,  8:45 PM, 8/13/16,4,12,15371,2,0
0,Ettifaq FC,Al-Ahli Saudi FC,Prince Mohamed bin Fahd Stadium,1,  7:45 PM, 8/14/16,13,1,6350,1,4
0,Al-Raed,Al-Wehda FC,King Abdullah Sport City Stadium,2,  7:45 PM, 8/18/16,6,7,3294,3,1
0,Al-Qadsiah FC,Al-Faisaly FC,Prince Saud bin Jalawi Stadium,2,  5:50 PM, 8/19/16,10,3,199,1,1
0,Al-Taawoun FC,Al-Hilal Saudi FC,King Abdullah Sport City Stadium,2,  8:05 PM, 8/19/16,13,2,11966,0,2
0,Al-Batin FC,Al-Shabab Club (Riyadh),Al-Batin Club Stadium,2,  6:10 PM, 8/20/16,8,11,3020,1,0
0,Al-Khaleej,Al-Ittihad Club (Jeddah),Prince Saud bin Jalawi Stadium,2,  8:05 PM, 8/20/16,12,4,3027,2,3
0,Al-Fateh,Al-Ahli Saudi FC,Prince Abdullah bin Jalawi Stadium,2,  8:05 PM, 8/20/16,14,1,4179,0,1
0,Ettifaq FC,Al-Nassr Riad,Prince Mohamed bin Fahd Stadium,2,  8:05 PM, 8/20/16,9,5,7450,1,0
0,Al-Taawoun FC,Al-Raed,King Abdullah Sport City Stadium,3,  5:45 PM, 9/16/16,10,9,3501,2,1
0,Al-Khaleej,Al-Batin FC,Prince Saud bin Jalawi Stadium,3,  6:25 PM, 9/16/16,13,8,112,2,2
0,Al-Hilal Saudi FC,Ettifaq FC,King Fahd International Stadium,3,  7:45 PM, 9/16/16,3,5,7484,1,2
0,Al-Faisaly FC,Al-Fateh,Al Majma'ah Sports City Stadium,3,  5:40 PM, 9/17/16,6,14,204,0,0
