,TeamA,TeamB,Stadium,Round,TeamA_Position,TeamB_Position,Attendance,TeamA_win_sum,TeamA_loss_sum,sum_goals_A,TeamA_draw_sum,TeamB_win_sum,TeamB_loss_sum,sum_goals_B,TeamB_draw_sum,Match_hour,Match_minute,Match_month,Match_day,Match_year,Match_day_name,Match_date_hijri_day,Match_date_hijri_month,feelslike,feelslikemax,feelslikemin,temp max:,temp min:,humidity:,precip:,preciptype:,visibility:,solarradiation:,solarenergy:,uvindex:,windspeed:,conditions:,description:
113,Al-Taawoun FC,Al-Shabab Club (Riyadh),King Abdullah Sport City Stadium,17,6,5,6838,3,2,9,2,3,3,8,2,4,25,2,1,2017,Wednesday,4,5,12,17,5.8,17,7,45.3,0,,10,205.3,17.7,8,18.4,Partially cloudy,Partly cloudy throughout the day.
136,Al-Fateh,Al-Shabab Club (Riyadh),Prince Abdullah bin Jalawi Stadium,20,13,5,4153,3,5,12,2,3,4,8,2,4,25,3,4,2017,Saturday,5,6,20.2,26.5,14.9,27,14.9,52.7,0,,9.4,219.1,18.7,8,38.9,Clear,Clear conditions throughout the day.
153,Al-Wehda FC,Al-Shabab Club (Riyadh),King Abdul Aziz Stadium,22,14,5,525,4,6,19,0,3,4,9,3,7,40,4,8,2017,Saturday,11,7,30,37.5,23,37.9,23,39.5,0,,10,305.3,26.4,10,18.4,Clear,Clear conditions throughout the day.
171,Al-Nassr Riad,Al-Shabab Club (Riyadh),King Fahd International Stadium,25,4,7,1458,8,1,21,3,4,4,11,3,7,50,4,29,2017,Saturday,3,8,29.6,33.4,25,36,25,19.7,0,,5.5,162.3,13.8,6,25.9,Partially cloudy,Partly cloudy throughout the day.
175,Ettifaq FC,Al-Shabab Club (Riyadh),Prince Mohamed bin Fahd Stadium,26,11,6,506,5,5,19,2,4,5,11,3,5,55,5,3,2017,Wednesday,7,8,33.3,39.3,27.6,41.8,26.9,36.1,0,,9.6,306.9,26.4,10,22.3,Clear,Clear conditions throughout the day.
2,Al-Faisaly FC,Al-Khaleej,Al Majma'ah Sports City Stadium,1,3,11,214,0,0,0,0,0,0,0,0,6,10,8,12,2016,Friday,9,11,33,43.6,26.1,43.6,27.1,11.7,0,,,325.5,28,10,24.8,Partially cloudy,Partly cloudy throughout the day.
23,Al-Nassr Riad,Al-Khaleej,King Fahd International Stadium,4,6,9,4438,2,0,5,0,0,1,1,0,7,25,9,22,2016,Thursday,21,12,29.9,35,23.9,38,23.9,13.1,0,,8.5,294,25.4,10,29.5,Clear,Clear conditions throughout the day.
47,Al-Ahli Saudi FC,Al-Khaleej,King Abdullah Sports City,7,5,12,8811,1,0,3,1,1,1,2,0,7,0,10,29,2016,Saturday,28,1,34.8,38.4,26.5,37.5,26.5,60.1,0,,9.4,189.3,16.4,7,15.6,Clear,Clear conditions throughout the day.
52,Al-Qadsiah FC,Al-Khaleej,Prince Saud bin Jalawi Stadium,8,13,12,318,0,2,2,1,1,2,3,0,3,35,11,4,2016,Friday,4,2,24.4,29.4,19.2,30.9,19.2,44.6,0,,8.4,203.2,17.4,7,23.4,Clear,Clear conditions throughout the day.
64,Al-Wehda FC,Al-Khaleej,King Abdul Aziz Stadium,10,9,12,804,2,2,11,0,1,2,3,1,5,40,11,24,2016,Thursday,24,2,29.3,35.1,24.9,34,24.9,58.5,0.3,['rain'],10,183.5,15.8,7,16.7,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.
82,Al-Fateh,Al-Khaleej,Prince Abdullah bin Jalawi Stadium,12,14,10,2134,1,2,5,2,2,2,5,1,12,55,12,10,2016,Saturday,11,3,13.8,17.2,10,17.2,10,24.9,0,,8.3,186.5,16,7,35.3,Clear,Clear conditions throughout the day.
87,Al-Raed,Al-Khaleej,King Abdullah Sport City Stadium,13,7,11,3048,4,1,13,1,3,2,9,1,3,55,12,16,2016,Friday,17,3,12,18,1.1,18,3.5,58.7,0,,10,189.8,16.5,7,16.6,Clear,Clear conditions throughout the day.
104,Al-Ittihad Club (Jeddah),Al-Khaleej,King Abdullah Sports City,15,3,11,15179,5,2,15,0,3,3,11,1,5,50,1,3,2017,Tuesday,5,4,24.2,28.1,20.7,27.6,20.7,62.4,0,,10,201.4,17.4,7,17.5,Clear,Clear conditions throughout the day.
107,Al-Batin FC,Al-Khaleej,Al-Batin Club Stadium,16,10,12,2207,2,2,4,3,3,3,12,2,3,35,1,27,2017,Friday,29,4,16,21,12,21,12,59,0,,7.6,174.4,14.9,7,37.1,Clear,Clear conditions throughout the day.
121,Al-Shabab Club (Riyadh),Al-Khaleej,Prince Faisal bin Fahad Stadium,18,5,13,525,3,0,12,5,3,4,12,2,4,25,2,10,2017,Friday,13,5,17.6,24,11,24,11,29,0,,10,218.3,18.9,7,17.6,Clear,Clear conditions throughout the day.
127,Al-Hilal Saudi FC,Al-Khaleej,Prince Faisal bin Fahad Stadium,19,1,14,3921,6,2,23,1,3,4,13,3,6,25,2,16,2017,Thursday,19,5,15.3,16,14,16,14,90.1,0,,4.5,183.8,15.8,7,18.4,Partially cloudy,Partly cloudy throughout the day.
152,Ettifaq FC,Al-Khaleej,Prince Mohamed bin Fahd Stadium,22,8,13,1330,4,4,15,2,3,5,13,3,5,40,4,8,2017,Saturday,11,7,26.3,33,21.3,34.7,21.3,49.2,0,,9.9,274.1,23.6,9,25.7,Clear,Clear conditions throughout the day.
161,Al-Taawoun FC,Al-Khaleej,King Abdullah Sport City Stadium,24,7,13,3894,5,4,14,2,3,6,14,3,6,10,4,20,2017,Thursday,23,7,24,28.2,19,29,19,42,0.6,['rain'],9.9,278.7,24.1,9,18.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
3,Al-Wehda FC,Al-Taawoun FC,King Abdul Aziz Stadium,1,5,10,681,0,0,0,0,0,0,0,0,8,5,8,12,2016,Friday,9,11,39.7,47.7,33.5,40.5,30,48.4,0,,10,308.8,26.6,10,18.6,Clear,Clear conditions throughout the day.
25,Al-Shabab Club (Riyadh),Al-Taawoun FC,King Fahd International Stadium,4,8,10,1125,1,0,3,1,0,1,2,0,5,30,9,23,2016,Friday,22,12,29.2,34.1,22.5,37.1,22.5,11.5,0,,9.7,289.4,25.1,10,18.4,Clear,Clear conditions throughout the day.
31,Al-Ittihad Club (Jeddah),Al-Taawoun FC,King Abdullah Sports City,5,2,11,17571,0,0,0,0,0,1,4,1,7,15,10,14,2016,Friday,13,1,33.5,39.9,25.7,37,25.7,60.1,0,,9.8,243.1,21.1,8,20.7,Clear,Clear conditions throughout the day.
42,Al-Qadsiah FC,Al-Taawoun FC,Prince Mohamed bin Fahd Stadium,7,13,10,221,0,1,2,1,0,2,5,1,4,40,10,28,2016,Friday,27,1,28.4,33.9,22.7,34.9,22.7,58,0,,8.7,206.4,17.9,8,17.9,Clear,Clear conditions throughout the day.
54,Ettifaq FC,Al-Taawoun FC,Prince Mohamed bin Fahd Stadium,8,6,11,1235,2,2,5,0,1,2,6,1,3,35,11,5,2016,Saturday,5,2,24.2,30.8,17.8,32.8,17.8,51.5,0,,9.9,210.2,18.2,8,18.8,Clear,Clear conditions throughout the day.
76,Al-Khaleej,Al-Taawoun FC,Prince Saud bin Jalawi Stadium,11,14,7,103,0,4,7,1,1,3,6,1,3,30,12,3,2016,Saturday,4,3,23.8,29.1,20.1,27.9,20.1,74.6,0,,8,162.9,14,6,27.1,Partially cloudy,Becoming cloudy in the afternoon.
77,Al-Batin FC,Al-Taawoun FC,Al-Batin Club Stadium,12,9,7,2577,1,1,3,2,2,3,7,1,5,50,12,8,2016,Thursday,9,3,11.1,17,5.1,17,7,62.8,0,,10,171.4,14.8,7,13.5,Clear,Clear conditions throughout the day.
101,Al-Hilal Saudi FC,Al-Taawoun FC,King Fahd International Stadium,15,1,7,6386,5,2,18,0,2,4,7,1,5,50,12,31,2016,Saturday,2,4,18.9,27.4,10.8,29,10.8,38.6,0,,9.8,207.4,17.7,8,13,Clear,Clear conditions throughout the day.
105,Al-Raed,Al-Taawoun FC,King Abdullah Sport City Stadium,16,7,8,7859,5,1,16,1,2,5,9,1,4,25,1,26,2017,Thursday,28,4,17.6,26.3,9,27,9,43.8,0,,8.9,160.3,13.7,6,18.4,Partially cloudy,Partly cloudy throughout the day.
126,Al-Fateh,Al-Taawoun FC,Prince Abdullah bin Jalawi Stadium,19,13,6,2143,3,4,12,2,2,6,11,1,4,15,2,16,2017,Thursday,19,5,20,22.2,17,22.2,17,89.8,0.9,['rain'],7.9,93.8,8.1,4,27.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
148,Al-Faisaly FC,Al-Taawoun FC,Al Majma'ah Sports City Stadium,22,9,6,639,3,5,15,2,3,6,13,1,6,0,4,6,2017,Thursday,9,7,24,31.8,15.6,34.4,15.6,17.3,0,,,285.6,24.6,9,32,Clear,Clear conditions throughout the day.
159,Al-Nassr Riad,Al-Taawoun FC,Prince Faisal bin Fahad Stadium,23,2,7,1422,7,1,19,3,3,7,13,1,7,45,4,15,2017,Saturday,18,7,30,36.2,23.8,39.8,23.8,12,0,,8.9,309.3,26.9,9,22.3,Clear,Clear conditions throughout the day.
179,Al-Ahli Saudi FC,Al-Taawoun FC,King Abdullah Sports City,26,2,7,2241,8,2,25,2,3,8,14,1,7,50,5,4,2017,Thursday,8,8,31.6,37.2,26.6,37.8,26.6,32.1,0,,10,312.1,27,10,26.7,Clear,Clear conditions throughout the day.
5,Al-Hilal Saudi FC,Al-Batin FC,King Fahd International Stadium,1,4,12,15371,0,0,0,0,0,0,0,0,8,45,8,13,2016,Saturday,10,11,34.7,45,27.3,45,28.9,8.6,0,,10,330.1,28.6,10,16.6,Partially cloudy,Partly cloudy throughout the day.
15,Al-Khaleej,Al-Batin FC,Prince Saud bin Jalawi Stadium,3,13,8,112,0,1,2,0,0,1,0,0,6,25,9,16,2016,Friday,15,12,34.5,43.7,28,43.7,27,37.7,0,,9.7,291,25.1,10,21.6,Clear,Clear conditions throughout the day.
21,Ettifaq FC,Al-Batin FC,Prince Mohamed bin Fahd Stadium,4,2,11,2246,1,1,2,0,0,1,2,1,8,45,9,21,2016,Wednesday,20,12,30.8,38.3,25.1,38.9,25.1,25.2,0,,10,285.4,24.5,9,38.6,Clear,Clear conditions throughout the day.
48,Al-Wehda FC,Al-Batin FC,King Abdul Aziz Stadium,7,8,9,603,1,2,6,0,0,2,3,1,7,50,10,29,2016,Saturday,28,1,36.6,41.5,31.3,38.5,27.5,62.2,0,,9.7,210,18,8,10.4,Clear,Clear conditions throughout the day.
51,Al-Ittihad Club (Jeddah),Al-Batin FC,King Abdullah Sports City,8,5,9,16898,1,1,3,0,0,3,4,1,8,0,11,3,2016,Thursday,3,2,33.2,38.2,28.7,35,26.7,60.9,0,,10,197.3,17,7,21.2,Clear,Clear conditions throughout the day.
71,Al-Nassr Riad,Al-Batin FC,King Fahd International Stadium,11,2,10,4431,4,1,9,0,0,4,4,1,7,40,12,1,2016,Thursday,2,3,21.3,26.7,17,27,17,58.1,0,,9.8,198.1,17,7,16.6,Clear,Clear conditions throughout the day.
99,Al-Shabab Club (Riyadh),Al-Batin FC,Prince Faisal bin Fahad Stadium,15,5,12,658,2,0,9,5,0,5,4,1,5,55,12,30,2016,Friday,1,4,18.6,26.7,11,28,11,49.7,0,,10,204.9,17.6,8,11.2,Clear,Clear conditions throughout the day.
125,Al-Raed,Al-Batin FC,King Abdullah Sport City Stadium,18,6,10,1773,6,1,19,1,0,6,5,1,6,35,2,12,2017,Sunday,15,5,18.1,26.3,12,27,12,58.5,0,,9.7,249.2,21.4,9,25.9,Clear,Clear conditions throughout the day.
131,Al-Qadsiah FC,Al-Batin FC,Prince Mohamed bin Fahd Stadium,19,9,10,63,3,3,13,3,0,7,6,1,6,15,2,18,2017,Saturday,21,5,12.7,18,-4.6,18,1,54.5,0,,7.6,234.8,20.2,9,32.5,Clear,Clear conditions throughout the day.
151,Al-Ahli Saudi FC,Al-Batin FC,King Abdullah Sports City,22,3,11,6219,7,2,22,1,0,7,7,2,8,40,4,7,2017,Friday,10,7,29.8,34.2,24.8,34.6,24.8,46.6,0,,10,292.8,25.3,10,23.8,Clear,Clear conditions throughout the day.
158,Al-Fateh,Al-Batin FC,Prince Abdullah bin Jalawi Stadium,23,11,12,5111,3,5,13,3,0,7,8,3,6,45,4,15,2017,Saturday,18,7,30.3,39,23.9,42.7,23.9,17.9,0,,9.5,311,26.9,10,48.2,Clear,Clear conditions throughout the day.
173,Al-Taawoun FC,Al-Batin FC,King Abdullah Sport City Stadium,25,6,12,2404,5,4,14,3,0,8,10,3,8,50,4,29,2017,Saturday,3,8,31,37.3,24.7,38,24.7,33.1,0,,7,265.2,22.8,10,25.9,Partially cloudy,Partly cloudy throughout the day.
181,Al-Faisaly FC,Al-Batin FC,Al Majma'ah Sports City Stadium,26,10,12,515,4,5,19,3,0,9,13,3,8,50,5,4,2017,Thursday,8,8,29.3,35.4,22.6,38.3,22.6,15.6,0,,,273.5,23.7,10,22,Partially cloudy,Partly cloudy throughout the day.
13,Ettifaq FC,Al-Nassr Riad,Prince Mohamed bin Fahd Stadium,2,9,5,7450,0,1,1,0,0,0,0,0,8,5,8,20,2016,Saturday,17,11,38.6,43.9,31.9,43.9,29.8,37.2,0,,9.9,317.9,27.6,10,22.5,Clear,Clear conditions throughout the day.
33,Al-Wehda FC,Al-Nassr Riad,King Abdul Aziz Stadium,5,12,5,2275,1,1,6,0,0,1,0,0,7,0,10,15,2016,Saturday,14,1,37.1,45.7,29.6,39.9,27.5,52.7,0,,9.9,248.7,21.5,9,12.1,Clear,Clear conditions throughout the day.
46,Al-Faisaly FC,Al-Nassr Riad,Al Majma'ah Sports City Stadium,7,11,2,1629,2,0,5,1,1,1,3,0,6,50,10,29,2016,Saturday,28,1,23.9,30.1,16.9,32.5,16.9,18.9,0,,,233.1,20.2,8,18.4,Partially cloudy,Partly cloudy throughout the day.
61,Al-Ittihad Club (Jeddah),Al-Nassr Riad,King Abdullah Sports City,9,5,2,23038,2,1,5,0,2,1,5,0,5,55,11,20,2016,Sunday,20,2,30,34.4,25,33,25,61.2,0,,9.9,203.5,17.7,7,15.6,Clear,Clear conditions throughout the day.
65,Al-Taawoun FC,Al-Nassr Riad,King Abdullah Sport City Stadium,10,8,2,5013,1,1,2,2,3,1,6,0,3,50,11,25,2016,Friday,25,2,11.5,16,3.6,16,6.8,22.9,0.2,['rain'],5.7,175.7,15.1,7,17.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
80,Al-Shabab Club (Riyadh),Al-Nassr Riad,Prince Faisal bin Fahad Stadium,12,5,4,8175,2,0,7,3,3,2,7,0,5,55,12,9,2016,Friday,10,3,13.8,18,10.1,18,10.1,31.6,0,,10,190.5,16.5,7,16.6,Clear,Clear conditions throughout the day.
93,Al-Fateh,Al-Nassr Riad,Prince Abdullah bin Jalawi Stadium,14,14,4,3714,1,3,7,2,3,2,8,1,5,45,12,21,2016,Wednesday,22,3,14.3,18.2,11,18.2,11,58.9,0,,5.2,161.5,13.9,6,37.1,Clear,Clear conditions throughout the day.
106,Al-Qadsiah FC,Al-Nassr Riad,Prince Saud bin Jalawi Stadium,16,9,4,4022,1,3,6,3,4,2,10,1,6,15,1,26,2017,Thursday,28,4,14.4,20.1,6.9,20.1,8.1,58.6,0,,9.5,193.4,16.7,7,18,Clear,Clear conditions throughout the day.
118,Al-Khaleej,Al-Nassr Riad,Prince Saud bin Jalawi Stadium,17,13,3,1682,0,5,8,2,4,3,12,1,6,20,2,4,2017,Saturday,7,5,8.1,16.9,-0.6,16.9,3.3,30.3,0,,10,217.2,18.6,8,28,Clear,Clear conditions throughout the day.
130,Al-Ahli Saudi FC,Al-Nassr Riad,King Abdullah Sports City,19,4,2,38355,7,1,22,1,5,3,15,1,6,25,2,17,2017,Friday,20,5,20.3,25.3,16.9,25.3,16.9,44.8,0,,10,260.7,22.4,9,21.9,Partially cloudy,Partly cloudy throughout the day.
145,Al-Raed,Al-Nassr Riad,King Abdullah Sport City Stadium,21,7,2,7893,7,1,21,1,6,3,17,1,6,35,3,14,2017,Tuesday,15,6,21.4,26.2,16,27,16,31.2,0,,4.1,280.1,24.3,9,22.3,Clear,Clear conditions throughout the day.
166,Al-Batin FC,Al-Nassr Riad,Al-Batin Club Stadium,24,11,4,2320,4,3,8,4,7,3,18,1,7,5,4,21,2017,Friday,24,7,26.7,35.6,17.8,34.7,17.8,42.2,0,,10,340.3,29.2,10,29.6,Clear,Clear conditions throughout the day.
177,Al-Hilal Saudi FC,Al-Nassr Riad,King Fahd International Stadium,26,1,4,59174,8,2,28,2,7,4,21,1,7,50,5,4,2017,Thursday,8,8,32.6,37,26.2,40.1,27,13.1,0,,8.6,311.2,26.8,10,37.1,Partially cloudy,Partly cloudy throughout the day.
9,Al-Taawoun FC,Al-Hilal Saudi FC,King Abdullah Sport City Stadium,2,13,2,11966,0,0,0,0,0,0,0,0,8,5,8,19,2016,Friday,16,11,36.2,45,26.8,45,28.2,21.1,0,,9.6,332.1,28.7,10,19.8,Clear,Clear conditions throughout the day.
24,Al-Qadsiah FC,Al-Hilal Saudi FC,Prince Saud bin Jalawi Stadium,4,13,1,5820,0,0,1,1,1,0,2,0,7,25,9,22,2016,Thursday,21,12,32.7,39.2,24.2,39.9,24.2,42.3,0,,10,283.5,24.4,9,23.8,Clear,Clear conditions throughout the day.
36,Al-Khaleej,Al-Hilal Saudi FC,Prince Mohamed bin Fahd Stadium,6,12,1,5242,0,2,5,1,2,0,4,0,7,0,10,20,2016,Thursday,19,1,28.3,35.4,22,37.8,22,38.8,0,,9.4,237.7,20.5,8,18.3,Clear,Clear conditions throughout the day.
55,Al-Fateh,Al-Hilal Saudi FC,Prince Abdullah bin Jalawi Stadium,8,14,1,8071,0,1,0,1,3,0,10,0,6,0,11,5,2016,Saturday,5,2,23.9,31.5,16.8,34.1,16.8,21.7,0,,9.6,209.2,18.2,8,13,Clear,Clear conditions throughout the day.
67,Al-Ahli Saudi FC,Al-Hilal Saudi FC,King Abdullah Sports City,10,4,1,51659,3,0,11,1,4,0,11,0,6,0,11,25,2016,Friday,25,2,27.6,31.4,23.7,30.8,23.7,54.6,0.7,['rain'],10,179,15.3,7,16.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
88,Al-Nassr Riad,Al-Hilal Saudi FC,King Fahd International Stadium,13,4,1,27181,5,1,13,0,5,0,13,0,6,0,12,16,2016,Friday,17,3,11.9,17.6,6.8,17.6,8,40.2,0,,8.7,166.2,14.2,6,13,Clear,Clear conditions throughout the day.
92,Al-Batin FC,Al-Hilal Saudi FC,Al-Batin Club Stadium,14,10,1,4583,2,1,4,3,5,0,14,1,5,40,12,21,2016,Wednesday,22,3,5.9,13.1,0.1,13.1,3,66.9,0,,10,108,9.3,4,18.4,Partially cloudy,Partly cloudy throughout the day.
111,Ettifaq FC,Al-Hilal Saudi FC,Prince Mohamed bin Fahd Stadium,16,6,1,14640,4,2,13,1,6,0,16,1,6,15,1,28,2017,Saturday,30,4,19.3,23.1,14.9,23.1,14.9,51.4,0,,9.3,94.6,8.2,3,26.2,Partially cloudy,Partly cloudy throughout the day.
119,Al-Faisaly FC,Al-Hilal Saudi FC,Al Majma'ah Sports City Stadium,18,11,1,2506,3,4,14,1,7,0,17,1,6,15,2,9,2017,Thursday,12,5,17.2,25.3,10.5,25.3,10.5,30.4,0,,,143.3,12.4,5,28.8,Partially cloudy,Partly cloudy throughout the day.
139,Al-Ittihad Club (Jeddah),Al-Hilal Saudi FC,King Abdullah Sports City,20,4,1,53656,6,3,18,1,8,0,19,1,6,30,3,5,2017,Sunday,6,6,24.9,29.1,21,29.5,21,58.4,0,,10,283.7,24.4,10,24.1,Clear,Clear conditions throughout the day.
149,Al-Raed,Al-Hilal Saudi FC,King Abdullah Sport City Stadium,22,7,1,15192,7,2,21,1,9,0,22,1,7,40,4,6,2017,Thursday,9,7,26.6,33.6,18,36.3,18,31.2,0,,7.1,283.1,24.3,9,27.7,Partially cloudy,Partly cloudy throughout the day.
164,Al-Shabab Club (Riyadh),Al-Hilal Saudi FC,King Fahd International Stadium,24,6,1,12815,3,2,14,6,10,0,25,1,7,45,4,20,2017,Thursday,23,7,25.5,29.8,21.8,32,21.8,18,0,,10,288.4,24.7,10,25.9,Clear,Clear conditions throughout the day.
169,Al-Wehda FC,Al-Hilal Saudi FC,King Abdul Aziz Stadium,25,14,1,5006,4,8,21,0,11,0,27,1,7,50,4,29,2017,Saturday,3,8,30.7,37.5,23.8,36.2,23.8,48.2,6.3,['rain'],9.8,157,13.4,7,26.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
0,Al-Shabab Club (Riyadh),Al-Qadsiah FC,King Fahd International Stadium,1,6,7,1406,0,0,0,0,0,0,0,0,6,10,8,11,2016,Thursday,8,11,33.9,39.3,27.2,43,28.8,10.8,0,,10,337.1,29,10,22.3,Clear,Clear conditions throughout the day.
18,Al-Nassr Riad,Al-Qadsiah FC,King Fahd International Stadium,3,4,12,2689,1,0,4,0,0,0,0,1,7,45,9,17,2016,Saturday,16,12,32.8,38.6,26.8,42,28,13.3,0,,9.6,286.3,24.6,10,16.6,Clear,Clear conditions throughout the day.
34,Al-Ahli Saudi FC,Al-Qadsiah FC,King Abdullah Sports City,5,3,13,14388,0,0,1,1,0,1,0,1,7,0,10,15,2016,Saturday,14,1,35.2,40.7,26.5,38.5,26.5,60,0,,9.9,236.8,20.4,8,15.6,Clear,Clear conditions throughout the day.
40,Al-Batin FC,Al-Qadsiah FC,Al-Batin Club Stadium,6,8,13,1017,1,0,1,0,0,2,0,1,6,5,10,21,2016,Friday,20,1,25.9,31.6,20,33.6,20,31.9,0,,9.9,228.7,19.8,8,15.8,Clear,Clear conditions throughout the day.
56,Al-Fateh,Al-Qadsiah FC,Prince Abdullah bin Jalawi Stadium,9,14,12,1131,0,2,0,1,0,2,1,2,3,35,11,18,2016,Friday,18,2,21.6,29.8,14.2,32,14.2,33,0,,10,213.7,18.4,8,16.6,Clear,Clear conditions throughout the day.
79,Ettifaq FC,Al-Qadsiah FC,Prince Mohamed bin Fahd Stadium,12,6,12,2566,4,2,11,0,0,2,2,3,3,30,12,9,2016,Friday,10,3,17.6,22.9,13,22.9,13,47.2,0,,10,166.8,14.3,7,31.8,Clear,Clear conditions throughout the day.
84,Al-Wehda FC,Al-Qadsiah FC,King Abdul Aziz Stadium,13,13,10,679,2,3,12,0,0,2,4,4,5,45,12,14,2016,Wednesday,15,3,25.7,29,23.4,28.7,23.4,54,0,,10,189.1,16.3,7,22.3,Partially cloudy,Partly cloudy throughout the day.
98,Al-Faisaly FC,Al-Qadsiah FC,Al Majma'ah Sports City Stadium,15,9,10,317,2,4,11,1,1,2,9,4,4,0,12,29,2016,Thursday,30,3,13.6,24.2,4.3,24.2,7,47.1,0,,,179.5,15.6,7,28.8,Clear,Clear conditions throughout the day.
115,Al-Hilal Saudi FC,Al-Qadsiah FC,Prince Faisal bin Fahad Stadium,17,1,10,7336,6,2,22,0,1,3,11,4,6,20,2,2,2017,Thursday,5,5,10.7,14.3,2.8,14.3,6,29.3,0,,9.2,229.6,19.7,8,27.7,Clear,Clear conditions throughout the day.
137,Al-Taawoun FC,Al-Qadsiah FC,King Abdullah Sport City Stadium,20,8,7,5152,4,3,12,2,1,3,12,5,4,45,3,4,2017,Saturday,5,6,21.5,27.8,14,28,14,50.4,0,,9.8,269.4,23.3,9,24.1,Clear,Clear conditions throughout the day.
143,Al-Khaleej,Al-Qadsiah FC,Prince Saud bin Jalawi Stadium,21,12,8,209,0,6,10,3,2,3,15,5,4,25,3,11,2017,Saturday,12,6,20.3,23,17.1,23,17.1,60.8,0,,9.6,150.5,13.1,7,22.7,Partially cloudy,Partly cloudy throughout the day.
157,Al-Ittihad Club (Jeddah),Al-Qadsiah FC,King Abdullah Sports City,23,3,10,6686,6,4,19,1,2,4,16,5,7,45,4,14,2017,Friday,17,7,32.4,38.2,27.7,35.8,27.2,46.8,0,,9.6,309.5,26.8,10,21.7,Clear,Clear conditions throughout the day.
165,Al-Raed,Al-Qadsiah FC,King Abdullah Sport City Stadium,24,5,12,10341,7,3,21,1,2,5,18,5,6,10,4,21,2017,Friday,24,7,25.7,32.5,17,35,17,27.9,0,,10,315.7,27.1,10,22.3,Clear,Clear conditions throughout the day.
6,Ettifaq FC,Al-Ahli Saudi FC,Prince Mohamed bin Fahd Stadium,1,13,1,6350,0,0,0,0,0,0,0,0,7,45,8,14,2016,Sunday,11,11,42.5,46.9,38.2,46.9,29.9,45.8,0,,9,309,26.6,10,18.4,Clear,Clear conditions throughout the day.
12,Al-Fateh,Al-Ahli Saudi FC,Prince Abdullah bin Jalawi Stadium,2,14,1,4179,0,0,0,0,1,0,4,0,8,5,8,20,2016,Saturday,17,11,35,44.9,26.3,44.9,27,15.9,0,,9.7,326.1,28.2,10,16.6,Clear,Clear conditions throughout the day.
20,Al-Shabab Club (Riyadh),Al-Ahli Saudi FC,King Fahd International Stadium,3,7,2,3101,0,0,0,1,2,0,5,0,7,45,9,18,2016,Sunday,17,12,32.3,38,27.2,42,28.8,9.6,0,,10,304,26.4,10,14.8,Clear,Clear conditions throughout the day.
41,Al-Nassr Riad,Al-Ahli Saudi FC,King Fahd International Stadium,6,2,5,16501,2,1,5,0,2,1,7,0,7,15,10,21,2016,Friday,20,1,24.6,30.6,17,33,17,17.9,0,,10,257.4,22.3,9,9.4,Clear,Clear conditions throughout the day.
62,Al-Batin FC,Al-Ahli Saudi FC,Al-Batin Club Stadium,9,11,3,1644,1,0,2,1,2,2,7,0,7,45,11,20,2016,Sunday,20,2,17.7,24.3,12,24.3,12,47.3,0,,10,177.4,15.4,7,17.1,Clear,Clear conditions throughout the day.
70,Al-Faisaly FC,Al-Ahli Saudi FC,Al Majma'ah Sports City Stadium,11,11,4,704,2,2,6,1,3,2,8,0,5,40,12,1,2016,Thursday,2,3,20.8,26.8,15.3,27.7,15.3,48.1,0,,,155.9,13.5,6,35.6,Partially cloudy,Partly cloudy throughout the day.
90,Al-Taawoun FC,Al-Ahli Saudi FC,King Abdullah Sport City Stadium,13,8,3,2774,2,1,4,2,4,2,14,0,5,45,12,17,2016,Saturday,18,3,15.1,22.7,7.7,22.7,8.8,55.7,0,,8.3,166.4,14.3,6,13,Clear,Clear conditions throughout the day.
116,Al-Ittihad Club (Jeddah),Al-Ahli Saudi FC,King Abdullah Sports City,17,4,2,52909,6,2,17,1,5,2,17,0,6,20,2,3,2017,Friday,6,5,24,28.6,19,30.5,19,18.1,0,,5.1,226.7,19.7,8,46.4,Clear,Clear conditions throughout the day.
120,Al-Qadsiah FC,Al-Ahli Saudi FC,Prince Saud bin Jalawi Stadium,18,9,2,5002,2,3,9,3,6,2,21,0,8,15,2,9,2017,Thursday,12,5,16.7,22,11.9,22,11.9,57.6,14.3,['rain'],9.4,201.9,17.6,7,16.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.
138,Al-Khaleej,Al-Ahli Saudi FC,Prince Mohamed bin Fahd Stadium,20,14,3,1383,0,6,8,2,6,3,22,0,6,30,3,4,2017,Saturday,5,6,18.7,23.8,16,23.8,16,74.6,0,,8,207,17.9,8,32.3,Partially cloudy,Partly cloudy throughout the day.
142,Al-Wehda FC,Al-Ahli Saudi FC,King Abdul Aziz Stadium,21,13,3,2338,4,5,18,0,6,3,24,1,6,35,3,9,2017,Thursday,10,6,27.5,34.9,21,33,21,55.5,0,,10,238.2,20.5,9,14.8,Partially cloudy,Partly cloudy throughout the day.
