,TeamA,TeamB,Stadium,Round,TeamA_Position,TeamB_Position,Attendance,TeamA_win_sum,TeamA_loss_sum,sum_goals_A,TeamA_draw_sum,TeamB_win_sum,TeamB_loss_sum,sum_goals_B,TeamB_draw_sum,Match_hour,Match_minute,Match_month,Match_day,Match_year,Match_day_name,Match_date_hijri_day,Match_date_hijri_month,feelslike,feelslikemax,feelslikemin,temp max:,temp min:,humidity:,precip:,preciptype:,visibility:,solarradiation:,solarenergy:,uvindex:,windspeed:,conditions:,description:
7,Al-Raed,Al-Wehda FC,King Abdullah Sport City Stadium,2,6,7,3294,0,1,2,0,0,0,0,0,7,45,8,18,2016,Thursday,15,11,37.4,46,29.4,46,31,20.3,0,,9.9,325.9,28.1,10,22.3,Partially cloudy,Partly cloudy throughout the day.
26,Al-Faisaly FC,Al-Wehda FC,Al Majma'ah Sports City Stadium,4,3,12,205,1,0,3,1,0,1,1,0,5,35,9,23,2016,Friday,22,12,28.4,34.6,23.1,37.6,23.1,15.7,0,,,287,24.7,10,22,Clear,Clear conditions throughout the day.
38,Ettifaq FC,Al-Wehda FC,Prince Mohamed bin Fahd Stadium,6,6,10,1530,2,1,4,0,0,2,2,0,4,45,10,21,2016,Friday,20,1,27.2,33.8,22.1,35.9,22.1,33.7,0,,9.5,234.9,20.2,8,21,Clear,Clear conditions throughout the day.
53,Al-Ahli Saudi FC,Al-Wehda FC,King Abdullah Sports City,8,4,8,17923,2,0,7,1,1,2,5,0,6,0,11,4,2016,Friday,4,2,32.6,37.9,26.2,33.8,26.2,62.1,0,,10,222.8,19.3,8,19.4,Clear,Clear conditions throughout the day.
59,Al-Shabab Club (Riyadh),Al-Wehda FC,King Fahd International Stadium,9,4,8,884,2,0,7,2,1,3,5,0,5,45,11,19,2016,Saturday,19,2,20.2,27.4,11,29,11,20.2,0,,10,224.8,19.5,8,14.8,Clear,Clear conditions throughout the day.
75,Al-Fateh,Al-Wehda FC,Prince Abdullah bin Jalawi Stadium,11,13,9,1214,0,2,1,2,1,3,5,1,12,45,12,3,2016,Saturday,4,3,22,27.9,18.2,27,18.2,72.5,0,,6.3,173.2,15,7,27.7,Clear,Clear conditions throughout the day.
78,Al-Hilal Saudi FC,Al-Wehda FC,Prince Faisal bin Fahad Stadium,12,1,11,8458,4,2,12,0,1,4,7,1,5,55,12,8,2016,Thursday,9,3,14.9,21,9.9,21,9.9,42.6,0,,10,197.4,16.8,7,10,Clear,Clear conditions throughout the day.
96,Al-Taawoun FC,Al-Wehda FC,King Abdullah Sport City Stadium,14,7,13,2596,2,2,6,2,1,5,7,1,4,0,12,23,2016,Friday,24,3,19.7,27.3,13.4,27,13.4,65.2,0,,7.1,153,13.3,6,16.6,Partially cloudy,Partly cloudy throughout the day.
110,Al-Ittihad Club (Jeddah),Al-Wehda FC,King Abdullah Sports City,16,3,13,18197,5,2,16,1,1,6,8,1,6,15,1,28,2017,Saturday,30,4,22.7,25,21,25,21,55.7,0,,10,223.1,19.3,8,25.7,Partially cloudy,Partly cloudy throughout the day.
122,Al-Nassr Riad,Al-Wehda FC,King Fahd International Stadium,18,3,14,3506,6,1,16,1,1,7,8,1,6,15,2,10,2017,Friday,13,5,17.6,24,11,24,11,29,0,,10,218.3,18.9,7,17.6,Clear,Clear conditions throughout the day.
135,Al-Batin FC,Al-Wehda FC,Al-Batin Club Stadium,20,10,12,5222,4,2,7,3,1,8,9,1,6,35,3,3,2017,Friday,4,6,18.2,26,11,26,11,61.4,0,,10,252.9,21.6,9,12.3,Clear,Clear conditions throughout the day.
156,Al-Khaleej,Al-Wehda FC,Prince Saud bin Jalawi Stadium,23,13,14,312,1,6,12,3,1,8,10,2,5,45,4,14,2017,Friday,17,7,30.3,37.3,23,39.9,23,34.7,0,,9.2,305.4,26.4,10,16,Clear,Clear conditions throughout the day.
178,Al-Qadsiah FC,Al-Wehda FC,Prince Saud bin Jalawi Stadium,26,9,14,1139,3,4,16,5,1,9,12,2,7,50,5,4,2017,Thursday,8,8,34,41.6,27.2,42.5,27.2,33.7,0,,9.5,309,26.6,10,24.7,Clear,Clear conditions throughout the day.
4,Al-Nassr Riad,Al-Fateh,King Fahd International Stadium,1,2,14,11264,0,0,0,0,0,0,0,0,8,5,8,12,2016,Friday,9,11,34.5,44,27.2,44,28.8,9.3,0,,10,326.6,28.5,10,16.6,Clear,Clear conditions throughout the day.
17,Al-Faisaly FC,Al-Fateh,Al Majma'ah Sports City Stadium,3,6,14,204,1,0,3,0,0,1,1,0,5,40,9,17,2016,Saturday,16,12,30.8,37.6,24.9,41.1,24.9,15,0,,,298.5,25.6,10,15.1,Clear,Clear conditions throughout the day.
22,Al-Raed,Al-Fateh,King Abdullah Sport City Stadium,4,7,14,2879,1,1,5,0,0,1,1,1,5,20,9,22,2016,Thursday,21,12,32,39.4,25,41,25,25.6,0,,10,286.9,24.8,10,22.3,Clear,Clear conditions throughout the day.
35,Al-Taawoun FC,Al-Fateh,King Abdullah Sport City Stadium,6,11,14,3143,1,1,2,0,0,2,3,1,5,10,10,20,2016,Thursday,19,1,27,35.3,20,37,20,29.1,0,,10,247.9,21.6,9,18.4,Clear,Clear conditions throughout the day.
45,Al-Shabab Club (Riyadh),Al-Fateh,King Fahd International Stadium,7,3,14,647,1,0,5,2,0,2,3,2,5,10,10,29,2016,Saturday,28,1,24.2,30.6,16.8,33,16.8,20.5,0,,10,228.1,19.7,9,11.2,Clear,Clear conditions throughout the day.
66,Al-Batin FC,Al-Fateh,Al-Batin Club Stadium,10,10,13,473,1,1,2,1,0,3,3,2,5,50,11,25,2016,Friday,25,2,11.6,18,3.6,18,6,54.9,0.3,['rain'],9.5,173.2,14.9,7,16.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.
89,Al-Ittihad Club (Jeddah),Al-Fateh,King Abdullah Sports City,13,2,14,22094,3,2,9,0,0,3,4,3,4,25,12,17,2016,Saturday,18,3,25.1,29.8,21,29,21,62.3,0,,10,199.9,17.1,7,20.4,Clear,Clear conditions throughout the day.
102,Al-Ahli Saudi FC,Al-Fateh,King Abdullah Sports City,15,2,14,9560,5,1,17,1,0,4,6,3,5,50,12,31,2016,Saturday,2,4,24.7,29.8,20,28.8,20,64.5,0,,10,187.5,16.2,7,22.7,Clear,Clear conditions throughout the day.
123,Ettifaq FC,Al-Fateh,Prince Mohamed bin Fahd Stadium,18,7,12,1063,4,3,13,1,0,5,6,3,4,10,2,11,2017,Saturday,14,5,17.6,20.9,14.9,20.9,14.9,56,0,,8,132.7,11.5,6,26.5,Partially cloudy,Partly cloudy throughout the day.
141,Al-Hilal Saudi FC,Al-Fateh,Prince Faisal bin Fahad Stadium,21,1,14,15001,7,2,27,1,0,5,8,4,6,35,3,9,2017,Thursday,10,6,20,26,13,26,13,29,0,,10,283.5,24.7,10,21.6,Clear,Clear conditions throughout the day.
147,Al-Qadsiah FC,Al-Fateh,Prince Saud bin Jalawi Stadium,22,10,12,374,3,3,14,4,0,6,8,4,5,40,4,6,2017,Thursday,9,7,21.8,28.6,14.3,30.6,14.3,48.3,0,,10,289.9,25,10,17.3,Clear,Clear conditions throughout the day.
162,Al-Wehda FC,Al-Fateh,King Abdul Aziz Stadium,24,14,10,276,4,7,20,0,1,6,10,4,7,45,4,20,2017,Thursday,23,7,34.1,40.7,29.4,37.3,28.2,45.2,0,,9.8,297.4,25.7,10,15.5,Clear,Clear conditions throughout the day.
172,Al-Khaleej,Al-Fateh,Prince Mohamed bin Fahd Stadium,25,13,10,654,2,6,16,3,2,6,12,4,7,50,4,29,2017,Saturday,3,8,31.4,37,25.1,39,25.1,31.5,0,,8.8,267.6,23.3,9,26.2,Clear,Clear conditions throughout the day.
8,Al-Qadsiah FC,Al-Faisaly FC,Prince Saud bin Jalawi Stadium,2,10,3,199,0,0,0,0,0,0,0,0,5,50,8,19,2016,Friday,16,11,42.1,46.7,36.3,41.9,30,52.4,0,,9.4,297.3,25.9,10,18.8,Clear,Clear conditions throughout the day.
