,TeamA,TeamB,Stadium,Match_Day,Match_Time,Match_Date,TeamA_Position,TeamB_Position,Attendance,TeamA_goals,TeamB_goals
0,Al-Fateh,Al-Taawoun FC,Prince Abdullah bin Jalawi Stadium,1,  6:00 PM, 8/10/17,14,1,1814,1,4
0,Al-Hilal Saudi FC,Al-Fayha FC,King Fahd International Stadium,1,  8:55 PM, 8/10/17,4,11,9765,2,1
0,Al-Qadsiah FC,Al-Raed,Prince Saud bin Jalawi Stadium,1,  6:00 PM, 8/11/17,6,10,655,2,1
0,Al-Ittihad Club (Jeddah),Al-Batin FC,King Abdullah Sports City,1,  7:55 PM, 8/11/17,12,3,17018,1,3
0,Ettifaq FC,Al-Ahli Saudi FC,Prince Mohamed bin Fahd Stadium,1,  7:55 PM, 8/11/17,5,9,3722,2,1
0,Al-Shabab Club (Riyadh),Ohod Al-Medina,Prince Faisal bin Fahad Stadium,1,  6:10 PM, 8/12/17,8,7,1034,1,2
0,Al-Faisaly FC,Al-Nassr Riad,Al Majma'ah Sports City Stadium,1,  8:55 PM, 8/12/17,13,2,892,1,3
0,Al-Taawoun FC,Al-Hilal Saudi FC,King Abdullah Sport City Stadium,2,  7:50 PM, 8/15/17,6,2,,3,4
0,Al-Raed,Al-Faisaly FC,King Abdullah Sport City Stadium,2,  6:20 PM, 8/17/17,12,9,2191,2,3
0,Al-Ahli Saudi FC,Al-Fateh,King Abdullah Sports City,2,  7:50 PM, 8/17/17,5,14,11980,4,0
0,Al-Batin FC,Ohod Al-Medina,Al-Batin Club Stadium,2,  6:15 PM, 8/18/17,1,10,3967,2,0
0,Al-Nassr Riad,Ettifaq FC,King Fahd International Stadium,2,  7:50 PM, 8/18/17,3,4,7884,2,2
0,Al-Shabab Club (Riyadh),Al-Qadsiah FC,Prince Faisal bin Fahad Stadium,2,  6:05 PM, 8/19/17,7,11,904,4,1
0,Al-Fayha FC,Al-Ittihad Club (Jeddah),King Salman Bin Abdulaziz Sport City Stadium,2,  7:50 PM, 8/19/17,13,8,1781,2,5
0,Ettifaq FC,Al-Qadsiah FC,Prince Mohamed bin Fahd Stadium,3,  7:25 PM, 9/14/17,8,4,1526,1,2
0,Al-Fateh,Al-Raed,Prince Abdullah bin Jalawi Stadium,3,  5:25 PM, 9/15/17,12,14,871,1,0
0,Al-Shabab Club (Riyadh),Al-Batin FC,Prince Faisal bin Fahad Stadium,3,  5:40 PM, 9/15/17,9,1,767,1,2
0,Al-Faisaly FC,Al-Ittihad Club (Jeddah),Al Majma'ah Sports City Stadium,3,  7:25 PM, 9/15/17,3,10,751,2,1
0,Al-Fayha FC,Al-Taawoun FC,King Salman Bin Abdulaziz Sport City Stadium,3,  5:40 PM, 9/16/17,13,7,839,1,1
0,Al-Hilal Saudi FC,Ohod Al-Medina,Prince Faisal bin Fahad Stadium,3,  7:25 PM, 9/16/17,2,11,4479,1,0
0,Al-Ahli Saudi FC,Al-Nassr Riad,King Abdullah Sports City,3,  7:25 PM, 9/17/17,6,5,10108,1,1
