,TeamA,TeamB,Stadium,Match_Day,Match_Time,Match_Date,TeamA_Position,TeamB_Position,Attendance,TeamA_goals,TeamB_goals
0,Al-Ittihad Club (Jeddah),Al-Hilal Saudi FC,King Abdullah Sports City,4,  7:20 PM, 9/21/17,10,1,35389,1,1
0,Al-Batin FC,Al-Ahli Saudi FC,Al-Batin Club Stadium,4,  5:35 PM, 9/22/17,2,3,6500,1,2
0,Ohod Al-Medina,Al-Fateh,Prince Mohammed bin Abdul Aziz Stadium,4,  6:00 PM, 9/22/17,12,8,1570,0,2
0,Al-Nassr Riad,Al-Fayha FC,Prince Faisal bin Fahad Stadium,4,  7:20 PM, 9/22/17,7,13,3014,2,2
0,Ettifaq FC,Al-Shabab Club (Riyadh),Prince Mohamed bin Fahd Stadium,4,  5:15 PM, 9/23/17,11,6,2527,2,3
0,Al-Qadsiah FC,Al-Faisaly FC,Prince Saud bin Jalawi Stadium,4,  5:15 PM, 9/23/17,5,4,929,1,1
0,Al-Raed,Al-Taawoun FC,King Abdullah Sport City Stadium,4,  7:20 PM, 9/23/17,14,9,17003,2,2
0,Al-Batin FC,Al-Fateh,Al-Batin Club Stadium,5,  5:30 PM, 9/28/17,3,8,2713,0,0
0,Al-Taawoun FC,Al-Ittihad Club (Jeddah),King Abdullah Sport City Stadium,5,  7:15 PM, 9/28/17,10,6,5004,1,2
0,Al-Fayha FC,Ohod Al-Medina,King Salman Bin Abdulaziz Sport City Stadium,5,  5:30 PM, 9/29/17,11,13,930,1,0
0,Al-Shabab Club (Riyadh),Al-Nassr Riad,Prince Faisal bin Fahad Stadium,5,  7:15 PM, 9/29/17,9,5,3688,0,1
0,Al-Faisaly FC,Ettifaq FC,Al Majma'ah Sports City Stadium,5,  5:30 PM, 9/30/17,4,12,275,3,0
0,Al-Hilal Saudi FC,Al-Qadsiah FC,Prince Faisal bin Fahad Stadium,5,  7:15 PM, 9/30/17,1,7,3319,2,1
0,Al-Ahli Saudi FC,Al-Raed,King Abdullah Sports City,5,  7:15 PM, 9/30/17,2,14,5310,5,3
0,Al-Fateh,Al-Qadsiah FC,Prince Abdullah bin Jalawi Stadium,6,  4:55 PM, 10/13/17,6,8,2806,2,1
0,Al-Ittihad Club (Jeddah),Ohod Al-Medina,King Abdullah Sports City,6,  7:00 PM, 10/13/17,7,12,7118,2,2
0,Ettifaq FC,Al-Batin FC,Prince Mohamed bin Fahd Stadium,6,  4:55 PM, 10/14/17,13,3,503,1,3
0,Al-Shabab Club (Riyadh),Al-Ahli Saudi FC,Prince Faisal bin Fahad Stadium,6,  7:00 PM, 10/14/17,9,2,2633,2,5
0,Al-Faisaly FC,Al-Fayha FC,Al Majma'ah Sports City Stadium,6,  7:00 PM, 10/14/17,4,11,2316,2,1
0,Al-Nassr Riad,Al-Taawoun FC,King Fahd International Stadium,6,  7:00 PM, 10/15/17,5,10,1915,2,1
0,Al-Raed,Al-Hilal Saudi FC,King Abdullah Sport City Stadium,6,  5:40 PM, 12/5/17,14,1,8140,0,3
0,Al-Qadsiah FC,Al-Fayha FC,Prince Saud bin Jalawi Stadium,7,  4:50 PM, 10/19/17,9,11,741,1,1
0,Al-Raed,Al-Shabab Club (Riyadh),King Abdullah Sport City Stadium,7,  5:10 PM, 10/19/17,14,10,3128,2,2
0,Ohod Al-Medina,Al-Nassr Riad,Prince Mohammed bin Abdul Aziz Stadium,7,  6:55 PM, 10/19/17,12,4,7866,2,2
0,Al-Fateh,Ettifaq FC,Prince Abdullah bin Jalawi Stadium,7,  4:50 PM, 10/20/17,6,13,4911,1,1
0,Al-Taawoun FC,Al-Faisaly FC,King Abdullah Sport City Stadium,7,  6:55 PM, 10/20/17,7,5,2877,1,0
0,Al-Hilal Saudi FC,Al-Batin FC,King Fahd International Stadium,7,  6:55 PM, 10/21/17,1,3,15675,2,1
0,Al-Ahli Saudi FC,Al-Ittihad Club (Jeddah),King Abdullah Sports City,7,  6:55 PM, 10/21/17,2,8,21358,3,0
0,Al-Fayha FC,Ettifaq FC,King Salman Bin Abdulaziz Sport City Stadium,8,  5:05 PM, 10/25/17,12,11,370,1,2
0,Al-Ittihad Club (Jeddah),Al-Qadsiah FC,King Abdullah Sports City,8,  6:50 PM, 10/25/17,8,9,3758,0,0
0,Al-Batin FC,Al-Raed,Al-Batin Club Stadium,8,  5:00 PM, 10/26/17,5,13,1217,1,5
0,Al-Nassr Riad,Al-Hilal Saudi FC,Prince Faisal bin Fahad Stadium,8,  6:50 PM, 10/26/17,3,1,17879,1,2
0,Al-Faisaly FC,Al-Ahli Saudi FC,Al Majma'ah Sports City Stadium,8,  6:50 PM, 10/26/17,4,2,512,1,2
0,Al-Shabab Club (Riyadh),Al-Fateh,Prince Faisal bin Fahad Stadium,8,  5:00 PM, 10/27/17,10,6,1153,1,1
0,Al-Taawoun FC,Ohod Al-Medina,King Abdullah Sport City Stadium,8,  6:50 PM, 10/27/17,7,14,3121,3,1
0,Ettifaq FC,Al-Raed,Prince Mohamed bin Fahd Stadium,9,  3:35 PM, 10/31/17,10,13,646,2,0
0,Al-Ahli Saudi FC,Al-Fayha FC,King Abdullah Sports City,9,  5:45 PM, 10/31/17,2,12,9774,1,1
0,Al-Qadsiah FC,Al-Taawoun FC,Prince Saud bin Jalawi Stadium,9,  3:35 PM, 11/1/17,7,9,,1,0
0,Al-Fateh,Al-Ittihad Club (Jeddah),Prince Abdullah bin Jalawi Stadium,9,  5:45 PM, 11/1/17,8,6,7012,1,2
0,Al-Hilal Saudi FC,Al-Shabab Club (Riyadh),Prince Faisal bin Fahad Stadium,9,  5:45 PM, 11/1/17,1,11,8352,1,1
0,Ohod Al-Medina,Al-Faisaly FC,Prince Mohammed bin Abdul Aziz Stadium,9,  5:45 PM, 11/4/17,14,3,2408,1,3
0,Al-Batin FC,Al-Nassr Riad,Al-Batin Club Stadium,9,  3:40 PM, 12/4/17,5,4,2437,1,1
0,Al-Qadsiah FC,Al-Batin FC,Prince Saud bin Jalawi Stadium,10,  3:30 PM, 11/16/17,8,5,820,0,0
0,Ohod Al-Medina,Ettifaq FC,Prince Mohammed bin Abdul Aziz Stadium,10,  5:40 PM, 11/16/17,12,10,1200,1,0
0,Al-Ittihad Club (Jeddah),Al-Shabab Club (Riyadh),King Abdullah Sports City,10,  5:40 PM, 11/17/17,7,11,25213,1,1
0,Al-Raed,Al-Nassr Riad,King Abdullah Sport City Stadium,10,  5:40 PM, 11/17/17,14,3,3866,0,5
0,Al-Fayha FC,Al-Fateh,King Salman Bin Abdulaziz Sport City Stadium,10,  3:50 PM, 11/18/17,13,6,279,1,3
0,Al-Taawoun FC,Al-Ahli Saudi FC,King Abdullah Sport City Stadium,10,  5:40 PM, 11/19/17,9,2,4372,1,1
0,Al-Faisaly FC,Al-Hilal Saudi FC,Al Majma'ah Sports City Stadium,10,  5:50 PM, 1/1/18,4,1,1796,1,1
0,Al-Fayha FC,Al-Shabab Club (Riyadh),King Salman Bin Abdulaziz Sport City Stadium,11,  3:45 PM, 11/23/17,12,11,402,3,1
0,Al-Raed,Ohod Al-Medina,King Abdullah Sport City Stadium,11,  3:50 PM, 11/23/17,14,13,3522,2,2
0,Al-Nassr Riad,Al-Ittihad Club (Jeddah),Prince Faisal bin Fahad Stadium,11,  5:40 PM, 11/23/17,4,8,15523,1,0
0,Al-Ahli Saudi FC,Al-Qadsiah FC,King Abdullah Sports City,11,  5:40 PM, 11/24/17,2,9,7510,3,0
0,Al-Batin FC,Al-Taawoun FC,Al-Batin Club Stadium,11,  1:05 PM, 11/25/17,5,7,1217,1,1
0,Al-Fateh,Al-Faisaly FC,Prince Abdullah bin Jalawi Stadium,11,  6:30 PM, 11/25/17,6,3,,0,5
0,Al-Hilal Saudi FC,Ettifaq FC,Prince Faisal bin Fahad Stadium,11,  5:55 PM, 1/8/18,1,10,4163,1,1
0,Al-Raed,Al-Fayha FC,King Abdullah Sport City Stadium,12,  3:50 PM, 11/29/17,14,13,1936,2,0
0,Al-Nassr Riad,Al-Fateh,Prince Faisal bin Fahad Stadium,12,  5:40 PM, 11/29/17,3,7,4116,3,1
0,Al-Shabab Club (Riyadh),Al-Taawoun FC,King Fahd International Stadium,12,  3:45 PM, 11/30/17,9,8,553,2,1
0,Al-Faisaly FC,Al-Batin FC,Al Majma'ah Sports City Stadium,12,  3:45 PM, 11/30/17,4,5,723,0,1
0,Ettifaq FC,Al-Ittihad Club (Jeddah),Prince Mohamed bin Fahd Stadium,12,  5:40 PM, 11/30/17,11,6,2665,1,2
0,Ohod Al-Medina,Al-Qadsiah FC,Prince Mohammed bin Abdul Aziz Stadium,12,  4:15 PM, 12/1/17,12,10,991,2,1
0,Al-Hilal Saudi FC,Al-Ahli Saudi FC,Prince Faisal bin Fahad Stadium,12,  6:00 PM, 12/1/17,1,2,14671,2,0
0,Al-Shabab Club (Riyadh),Al-Faisaly FC,King Fahd International Stadium,13,  3:45 PM, 12/8/17,10,4,878,0,1
0,Al-Fayha FC,Al-Batin FC,King Salman Bin Abdulaziz Sport City Stadium,13,  1:10 PM, 12/9/17,11,6,364,2,0
0,Al-Ittihad Club (Jeddah),Al-Raed,King Abdullah Sports City,13,  5:40 PM, 12/9/17,5,14,3470,2,1
0,Al-Qadsiah FC,Al-Nassr Riad,Prince Saud bin Jalawi Stadium,13,  5:40 PM, 12/9/17,8,3,1826,3,2
0,Al-Taawoun FC,Ettifaq FC,King Abdullah Sport City Stadium,13,  3:50 PM, 12/10/17,7,13,2648,4,0
0,Al-Fateh,Al-Hilal Saudi FC,Prince Abdullah bin Jalawi Stadium,13,  5:40 PM, 12/10/17,9,1,7924,0,0
0,Ohod Al-Medina,Al-Ahli Saudi FC,Prince Mohammed bin Abdul Aziz Stadium,13,  5:40 PM, 12/10/17,12,2,10225,2,2
0,Al-Raed,Al-Qadsiah FC,King Abdullah Sport City Stadium,14,  3:55 PM, 12/14/17,14,8,3047,1,1
0,Al-Nassr Riad,Al-Faisaly FC,King Fahd International Stadium,14,  5:40 PM, 12/14/17,3,4,1166,1,1
0,Ohod Al-Medina,Al-Shabab Club (Riyadh),Prince Mohammed bin Abdul Aziz Stadium,14,  4:15 PM, 12/15/17,12,10,5261,0,2
0,Al-Ahli Saudi FC,Ettifaq FC,King Abdullah Sports City,14,  5:40 PM, 12/15/17,2,13,4831,4,1
0,Al-Taawoun FC,Al-Fateh,King Abdullah Sport City Stadium,14,  1:15 PM, 12/16/17,7,9,2643,0,0
0,Al-Batin FC,Al-Ittihad Club (Jeddah),Al-Batin Club Stadium,14,  3:45 PM, 12/16/17,6,5,3217,1,2
0,Al-Fayha FC,Al-Hilal Saudi FC,King Salman Bin Abdulaziz Sport City Stadium,14,  5:40 PM, 12/17/17,11,1,1446,2,1
0,Al-Faisaly FC,Al-Raed,Al Majma'ah Sports City Stadium,15,  3:55 PM, 12/21/17,3,14,612,2,2
0,Al-Qadsiah FC,Al-Shabab Club (Riyadh),Prince Saud bin Jalawi Stadium,15,  5:45 PM, 12/21/17,10,7,1000,1,2
0,Ohod Al-Medina,Al-Batin FC,Prince Mohammed bin Abdul Aziz Stadium,15,  1:40 PM, 12/22/17,13,6,1146,1,1
0,Ettifaq FC,Al-Nassr Riad,Prince Mohamed bin Fahd Stadium,15,  6:30 PM, 12/22/17,12,4,1878,3,2
0,Al-Fateh,Al-Ahli Saudi FC,Prince Abdullah bin Jalawi Stadium,15,  5:45 PM, 12/23/17,11,2,2551,1,3
0,Al-Hilal Saudi FC,Al-Taawoun FC,King Fahd International Stadium,15,  5:45 PM, 12/24/17,1,9,3475,1,0
0,Al-Ittihad Club (Jeddah),Al-Fayha FC,King Abdullah Sports City,15,  5:45 PM, 12/24/17,5,8,13236,0,1
0,Al-Batin FC,Al-Shabab Club (Riyadh),Al-Batin Club Stadium,16,  3:50 PM, 12/27/17,8,6,1523,0,1
0,Al-Raed,Al-Fateh,King Abdullah Sport City Stadium,16,  1:20 PM, 12/28/17,14,11,2583,2,2
0,Ohod Al-Medina,Al-Hilal Saudi FC,Prince Mohammed bin Abdul Aziz Stadium,16,  1:45 PM, 12/28/17,13,1,16430,1,4
0,Al-Ittihad Club (Jeddah),Al-Faisaly FC,King Abdullah Sports City,16,  6:20 PM, 12/28/17,5,4,4382,3,3
0,Al-Taawoun FC,Al-Fayha FC,King Abdullah Sport City Stadium,16,  1:20 PM, 12/29/17,7,9,4740,4,0
0,Al-Nassr Riad,Al-Ahli Saudi FC,King Fahd International Stadium,16,  5:50 PM, 12/29/17,3,2,2586,3,1
0,Al-Qadsiah FC,Ettifaq FC,Prince Saud bin Jalawi Stadium,16,  6:20 PM, 2/21/18,12,10,2523,1,2
0,Al-Fateh,Ohod Al-Medina,Prince Abdullah bin Jalawi Stadium,17,  1:10 PM, 1/11/18,10,13,1071,0,0
0,Al-Fayha FC,Al-Nassr Riad,King Salman Bin Abdulaziz Sport City Stadium,17,  6:00 PM, 1/11/18,7,4,1368,1,0
0,Al-Taawoun FC,Al-Raed,King Abdullah Sport City Stadium,17,  4:15 PM, 1/12/18,8,14,,2,2
0,Al-Ahli Saudi FC,Al-Batin FC,King Abdullah Sports City,17,  6:00 PM, 1/12/18,2,9,23898,5,0
0,Al-Faisaly FC,Al-Qadsiah FC,Al Majma'ah Sports City Stadium,17,  1:25 PM, 1/13/18,3,12,508,2,0
0,Al-Hilal Saudi FC,Al-Ittihad Club (Jeddah),King Fahd International Stadium,17,  6:00 PM, 1/13/18,1,6,26602,1,1
0,Al-Shabab Club (Riyadh),Ettifaq FC,Prince Faisal bin Fahad Stadium,17,  4:05 PM, 1/14/18,5,11,651,3,1
0,Al-Ittihad Club (Jeddah),Al-Taawoun FC,King Abdullah Sports City,18,  6:30 PM, 3/5/18,8,7,13744,2,5
0,Ettifaq FC,Al-Faisaly FC,Prince Mohamed bin Fahd Stadium,18,  4:25 PM, 3/6/18,11,4,1618,0,0
0,Al-Fateh,Al-Batin FC,Prince Abdullah bin Jalawi Stadium,18,  4:25 PM, 3/6/18,9,10,2171,5,2
0,Ohod Al-Medina,Al-Fayha FC,Prince Mohammed bin Abdul Aziz Stadium,18,  5:10 PM, 3/6/18,13,6,3336,2,3
0,Al-Nassr Riad,Al-Shabab Club (Riyadh),Prince Faisal bin Fahad Stadium,18,  6:30 PM, 3/7/18,3,5,4922,1,0
0,Al-Raed,Al-Ahli Saudi FC,King Abdullah Sport City Stadium,18,  6:30 PM, 3/16/18,14,2,5739,0,3
0,Al-Qadsiah FC,Al-Hilal Saudi FC,Prince Saud bin Jalawi Stadium,18,  6:30 PM, 3/16/18,12,1,8443,0,1
0,Al-Qadsiah FC,Al-Fateh,Prince Saud bin Jalawi Stadium,19,  4:00 PM, 1/29/18,12,9,498,1,4
0,Al-Batin FC,Ettifaq FC,Al-Batin Club Stadium,19,  4:15 PM, 1/29/18,10,11,1734,1,1
0,Al-Fayha FC,Al-Faisaly FC,King Salman Bin Abdulaziz Sport City Stadium,19,  6:10 PM, 1/29/18,7,3,1403,2,2
0,Ohod Al-Medina,Al-Ittihad Club (Jeddah),Prince Mohammed bin Abdul Aziz Stadium,19,  2:05 PM, 1/30/18,13,6,16529,0,1
0,Al-Taawoun FC,Al-Nassr Riad,King Abdullah Sport City Stadium,19,  4:25 PM, 1/30/18,5,4,3042,1,0
0,Al-Hilal Saudi FC,Al-Raed,Prince Faisal bin Fahad Stadium,19,  6:10 PM, 1/30/18,1,14,3365,2,1
0,Al-Ahli Saudi FC,Al-Shabab Club (Riyadh),King Abdullah Sports City,19,  6:10 PM, 1/30/18,2,8,32199,3,2
0,Al-Faisaly FC,Al-Taawoun FC,Al Majma'ah Sports City Stadium,20,  1:40 PM, 2/3/18,4,5,852,0,1
0,Ettifaq FC,Al-Fateh,Prince Mohamed bin Fahd Stadium,20,  4:05 PM, 2/3/18,10,9,2768,2,1
0,Al-Nassr Riad,Ohod Al-Medina,King Fahd International Stadium,20,  5:45 PM, 2/3/18,3,13,2685,2,0
0,Al-Fayha FC,Al-Qadsiah FC,King Salman Bin Abdulaziz Sport City Stadium,20,  1:40 PM, 2/4/18,6,12,486,2,0
0,Al-Batin FC,Al-Hilal Saudi FC,Al-Batin Club Stadium,20,  4:20 PM, 2/4/18,11,1,6000,1,5
0,Al-Shabab Club (Riyadh),Al-Raed,King Fahd International Stadium,20,  4:20 PM, 2/4/18,8,14,587,0,0
0,Al-Ittihad Club (Jeddah),Al-Ahli Saudi FC,King Abdullah Sports City,20,  6:20 PM, 2/4/18,7,2,45913,0,0
0,Al-Ahli Saudi FC,Al-Faisaly FC,King Abdullah Sports City,21,  6:20 PM, 2/8/18,2,4,9595,2,1
0,Al-Hilal Saudi FC,Al-Nassr Riad,King Fahd International Stadium,21,  6:20 PM, 2/8/18,1,3,18968,2,2
0,Al-Raed,Al-Batin FC,King Abdullah Sport City Stadium,21,  1:50 PM, 2/9/18,14,11,3942,3,1
0,Ohod Al-Medina,Al-Taawoun FC,Prince Mohammed bin Abdul Aziz Stadium,21,  4:55 PM, 2/9/18,12,5,10041,1,0
0,Al-Qadsiah FC,Al-Ittihad Club (Jeddah),Prince Saud bin Jalawi Stadium,21,  6:20 PM, 2/9/18,13,7,4032,0,0
0,Al-Fateh,Al-Shabab Club (Riyadh),Prince Abdullah bin Jalawi Stadium,21,  4:15 PM, 2/10/18,8,9,1239,1,0
0,Ettifaq FC,Al-Fayha FC,Prince Mohamed bin Fahd Stadium,21,  6:20 PM, 2/10/18,10,6,3230,1,1
0,Al-Taawoun FC,Al-Qadsiah FC,King Abdullah Sport City Stadium,22,  4:40 PM, 2/15/18,5,12,2250,1,1
0,Al-Nassr Riad,Al-Batin FC,King Fahd International Stadium,22,  6:30 PM, 2/15/18,4,11,3626,0,3
0,Al-Raed,Ettifaq FC,King Abdullah Sport City Stadium,22,  1:55 PM, 2/16/18,14,9,5039,0,1
0,Al-Fayha FC,Al-Ahli Saudi FC,King Salman Bin Abdulaziz Sport City Stadium,22,  4:35 PM, 2/16/18,6,2,1590,1,1
0,Al-Shabab Club (Riyadh),Al-Hilal Saudi FC,King Fahd International Stadium,22,  6:30 PM, 2/16/18,10,1,9511,1,2
0,Al-Faisaly FC,Ohod Al-Medina,Al Majma'ah Sports City Stadium,22,  4:35 PM, 2/17/18,3,13,1040,2,0
0,Al-Ittihad Club (Jeddah),Al-Fateh,King Abdullah Sports City,22,  6:30 PM, 2/17/18,7,8,11272,0,0
0,Al-Fateh,Al-Fayha FC,Prince Abdullah bin Jalawi Stadium,23,  4:25 PM, 3/1/18,5,7,1831,3,2
0,Al-Ahli Saudi FC,Al-Taawoun FC,King Abdullah Sports City,23,  6:30 PM, 3/1/18,2,6,29321,5,1
0,Al-Shabab Club (Riyadh),Al-Ittihad Club (Jeddah),Prince Faisal bin Fahad Stadium,23,  6:30 PM, 3/1/18,10,8,3965,3,0
0,Ettifaq FC,Ohod Al-Medina,Prince Mohamed bin Fahd Stadium,23,  4:25 PM, 3/2/18,9,13,3504,3,2
0,Al-Batin FC,Al-Qadsiah FC,Al-Batin Club Stadium,23,  4:40 PM, 3/2/18,11,12,1831,3,4
0,Al-Hilal Saudi FC,Al-Faisaly FC,King Fahd International Stadium,23,  6:30 PM, 3/2/18,1,4,22483,1,0
0,Al-Nassr Riad,Al-Raed,Prince Faisal bin Fahad Stadium,23,  4:35 PM, 3/3/18,3,14,3148,4,3
0,Ohod Al-Medina,Al-Raed,Prince Mohammed bin Abdul Aziz Stadium,24,  5:10 PM, 3/9/18,14,13,2322,1,3
0,Al-Qadsiah FC,Al-Ahli Saudi FC,Prince Saud bin Jalawi Stadium,24,  6:30 PM, 3/9/18,12,2,4012,0,1
0,Ettifaq FC,Al-Hilal Saudi FC,Prince Mohamed bin Fahd Stadium,24,  6:30 PM, 3/9/18,6,1,14618,2,1
0,Al-Faisaly FC,Al-Fateh,Al Majma'ah Sports City Stadium,24,  4:45 PM, 3/10/18,5,4,1022,0,2
0,Al-Taawoun FC,Al-Batin FC,King Abdullah Sport City Stadium,24,  4:50 PM, 3/10/18,8,11,3023,1,2
0,Al-Shabab Club (Riyadh),Al-Fayha FC,Prince Faisal bin Fahad Stadium,24,  6:30 PM, 3/10/18,9,7,1440,0,0
0,Al-Ittihad Club (Jeddah),Al-Nassr Riad,King Abdullah Sports City,24,  6:45 PM, 3/10/18,10,3,16158,1,3
0,Al-Fayha FC,Al-Raed,King Salman Bin Abdulaziz Sport City Stadium,25,  7:40 PM, 4/6/18,7,13,941,3,3
0,Al-Qadsiah FC,Ohod Al-Medina,Prince Saud bin Jalawi Stadium,25,  7:40 PM, 4/6/18,12,14,895,4,1
0,Al-Taawoun FC,Al-Shabab Club (Riyadh),King Abdullah Sport City Stadium,25,  7:40 PM, 4/6/18,5,10,1238,2,1
0,Al-Ittihad Club (Jeddah),Ettifaq FC,King Abdullah Sports City,25,  7:40 PM, 4/6/18,8,9,14086,4,2
0,Al-Fateh,Al-Nassr Riad,Prince Abdullah bin Jalawi Stadium,25,  5:40 PM, 4/7/18,4,3,3404,1,1
0,Al-Batin FC,Al-Faisaly FC,Al-Batin Club Stadium,25,  6:00 PM, 4/7/18,11,6,874,3,1
0,Al-Ahli Saudi FC,Al-Hilal Saudi FC,King Abdullah Sports City,25,  7:40 PM, 4/7/18,2,1,43794,0,0
0,Ettifaq FC,Al-Taawoun FC,Prince Mohamed bin Fahd Stadium,26,  5:40 PM, 4/12/18,5,7,970,3,2
0,Al-Nassr Riad,Al-Qadsiah FC,King Fahd International Stadium,26,  5:55 PM, 4/12/18,3,12,2782,2,1
0,Al-Faisaly FC,Al-Shabab Club (Riyadh),Al Majma'ah Sports City Stadium,26,  6:00 PM, 4/12/18,6,10,1333,2,2
0,Al-Batin FC,Al-Fayha FC,Al-Batin Club Stadium,26,  6:00 PM, 4/12/18,11,8,832,1,1
0,Al-Raed,Al-Ittihad Club (Jeddah),King Abdullah Sport City Stadium,26,  6:05 PM, 4/12/18,13,9,1864,3,1
0,Al-Hilal Saudi FC,Al-Fateh,Mrsool Park,26,  7:40 PM, 4/12/18,1,4,23206,4,1
0,Al-Ahli Saudi FC,Ohod Al-Medina,King Abdul Aziz Stadium,26,  7:40 PM, 4/12/18,2,14,6778,1,0
