,TeamA,TeamB,Stadium,Match_Day,Match_Time,Match_Date,TeamA_Position,TeamB_Position,Attendance,TeamA_goals,TeamB_goals
0,Al-Faisaly FC,Najran SC,Al Majma'ah Sports City Stadium,20,  4:45 PM, 3/22/15,6,10,53,0,1
0,Al-Faisaly FC,Al-Shoalah FC,Al Majma'ah Sports City Stadium,13,  1:15 PM, 12/19/14,6,13,66,0,0
0,Al-Shoalah FC,Al-Taawoun FC,Al-Shoalah Club Stadium,20,  4:45 PM, 3/22/15,14,7,73,4,3
0,Al-Faisaly FC,Al-Khaleej,Al Majma'ah Sports City Stadium,12,  1:00 PM, 12/12/14,6,11,79,1,2
0,Al-Shoalah FC,Al-Fateh,Al-Shoalah Club Stadium,8,  5:00 PM, 10/25/14,12,10,100,1,0
0,Najran SC,Al-Fateh,Al-Ukhdood Stadium,23,  6:00 PM, 4/18/15,11,7,110,1,1
0,Al-Shoalah FC,Hajer Club,Al-Shoalah Club Stadium,11,  3:45 PM, 12/4/14,12,7,120,3,1
0,Al-Shoalah FC,Al-Raed,Al-Shoalah Club Stadium,25,  8:00 PM, 5/10/15,13,12,143,2,2
0,Al-Khaleej,Al-Fateh,Prince Mohamed bin Fahd Stadium,9,  3:35 PM, 10/30/14,12,10,155,2,2
0,Hajer Club,Al-Raed,Prince Abdullah bin Jalawi Stadium,5,  5:20 PM, 9/17/14,8,12,160,2,1
0,Al-Faisaly FC,Al-Orobah FC,Al Majma'ah Sports City Stadium,18,  4:45 PM, 3/6/15,6,13,170,2,0
0,Al-Faisaly FC,Al-Taawoun FC,Al Majma'ah Sports City Stadium,6,  5:30 PM, 9/27/14,6,9,183,2,2
0,Hajer Club,Al-Taawoun FC,Prince Abdullah bin Jalawi Stadium,2,  5:50 PM, 8/22/14,8,13,199,2,0
0,Al-Taawoun FC,Al-Khaleej,King Abdullah Sport City Stadium,26,  6:25 PM, 5/15/15,9,8,214,4,4
0,Al-Faisaly FC,Al-Fateh,Al Majma'ah Sports City Stadium,16,  4:30 PM, 2/20/15,7,10,250,4,2
0,Al-Faisaly FC,Hajer Club,Al Majma'ah Sports City Stadium,4,  5:45 PM, 9/11/14,5,8,275,2,0
0,Al-Shoalah FC,Al-Orobah FC,Al-Shoalah Club Stadium,10,  1:05 PM, 11/29/14,13,10,289,0,0
0,Al-Fateh,Najran SC,Prince Abdullah bin Jalawi Stadium,10,  12:55 PM, 11/29/14,8,11,305,2,1
0,Al-Khaleej,Al-Raed,Prince Saud bin Jalawi Stadium,23,  5:45 PM, 4/18/15,9,12,312,3,0
0,Al-Fateh,Al-Shoalah FC,Prince Abdullah bin Jalawi Stadium,21,  5:40 PM, 4/4/15,8,14,313,0,0
0,Al-Shoalah FC,Al-Khaleej,Al-Shoalah Club Stadium,15,  2:05 PM, 2/14/15,14,12,318,1,1
0,Al-Fateh,Al-Khaleej,Prince Abdullah bin Jalawi Stadium,22,  5:40 PM, 4/11/15,7,12,325,2,0
0,Al-Taawoun FC,Al-Fateh,King Abdullah Sport City Stadium,5,  7:20 PM, 9/18/14,10,9,335,1,2
